ID	DateTime	Action	LicenseCode	ApplicationName	User	Computer	TotalApplicationInstancesPerLicense	LicenseDuration	TotalLicensePerUser	TotalLicenses	InstancesPerApplication	ApplicationInstancesPerLicense	ApplicationDuration	TotalApplications	TotalApplicationsPerUser
107	 2019-09-30 16:16:26.001	OUT	AEC COLLECTION	86917RVT_2018_0F	User24	Computer	2	 01:23:08	1	16	2	2	 01:23:08	2	1
108	 2019-09-30 16:30:25.001	OUT	AEC COLLECTION	87149RVT_2019_0F	User28	Computer	1	 05:55:04	1	17	1	1	 05:55:04	5	1
109	 2019-09-30 16:35:52.000	IN	AEC COLLECTION	86917RVT_2018_0F	User24	Computer	1	 01:42:34	1	17	1	1	 01:42:34	2	1
110	 2019-09-30 16:36:34.001	OUT	AEC COLLECTION	87149RVT_2019_0F	User24	Computer	2	 01:43:16	1	17	1	1	 01:43:56	6	2
111	 2019-09-30 16:36:35.000	IN	AEC COLLECTION	86917RVT_2018_0F	User24	Computer	1	 01:43:17	1	17	0	0	 01:43:17	1	1
112	 2019-09-30 16:37:16.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User14	Computer	2	 05:26:41	1	17	2	2	 05:26:41	11	1
113	 2019-09-30 16:37:19.000	IN	AEC COLLECTION	86706RVT_2017_0F	User14	Computer	1	 05:26:44	1	17	1	1	 05:26:44	11	1
114	 2019-09-30 17:00:49.001	OUT	AEC COLLECTION	87149RVT_2019_0F	User24	Computer	2	 02:07:31	1	17	2	2	 02:08:11	6	1
115	 2019-09-30 17:04:51.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User8	Computer	3	 07:23:22	1	17	2	2	 07:23:22	11	2
116	 2019-09-30 17:24:57.000	IN	AEC COLLECTION	86766NAVMAN_2017_0F	User4	Computer	2	 07:56:57	1	17	0	0	 07:32:24	1	1
117	 2019-09-30 17:45:24.000	IN	AEC COLLECTION	87149RVT_2019_0F	User16	Computer	0	 07:33:03	0	16	0	0	 07:33:03	5	0
118	 2019-09-30 17:57:19.000	IN	AEC COLLECTION	86706RVT_2017_0F	User3	Computer	1	 08:33:38	1	16	1	1	 08:33:38	11	1
119	 2019-09-30 18:00:06.000	IN	AEC COLLECTION	86706RVT_2017_0F	User3	Computer	0	 08:36:25	0	15	0	0	 08:36:25	10	0
120	 2019-09-30 18:29:04.000	IN	AEC COLLECTION	86706RVT_2017_0F	User14	Computer	0	 07:18:29	0	14	0	0	 07:18:29	9	0
121	 2019-09-30 18:33:06.000	IN	AEC COLLECTION	87149RVT_2019_0F	User24	Computer	1	 03:39:48	1	14	1	1	 03:40:28	5	1
122	 2019-09-30 18:33:10.000	IN	AEC COLLECTION	86706RVT_2017_0F	User8	Computer	2	 08:51:41	1	14	1	1	 08:51:41	9	2
123	 2019-09-30 18:33:17.000	IN	AEC COLLECTION	87149RVT_2019_0F	User24	Computer	0	 03:39:59	0	13	0	0	 03:40:39	4	0
124	 2019-09-30 18:33:32.000	IN	AEC COLLECTION	87149RVT_2019_0F	User8	Computer	1	 08:52:03	1	13	0	0	 07:54:39	3	1
125	 2019-09-30 18:34:04.000	IN	AEC COLLECTION	86706RVT_2017_0F	User8	Computer	0	 08:52:35	0	12	0	0	 08:52:35	8	0
126	 2019-09-30 18:36:00.000	IN	AEC COLLECTION	87149RVT_2019_0F	User26	Computer	0	 08:38:47	0	11	0	0	 08:38:47	2	0
127	 2019-09-30 18:39:04.000	IN	AEC COLLECTION	86706RVT_2017_0F	User5	Computer	0	 08:33:33	0	10	0	0	 08:33:33	7	0
128	 2019-09-30 18:40:18.000	IN	AEC COLLECTION	86706RVT_2017_0F	User13	Computer	3	 08:36:47	1	10	3	3	 08:36:47	7	1
129	 2019-09-30 18:40:20.000	IN	AEC COLLECTION	86706RVT_2017_0F	User13	Computer	2	 08:36:49	1	10	2	2	 08:36:49	7	1
130	 2019-09-30 18:40:21.000	IN	AEC COLLECTION	86706RVT_2017_0F	User13	Computer	1	 08:36:50	1	10	1	1	 08:36:50	7	1
131	 2019-09-30 18:40:22.000	IN	AEC COLLECTION	86706RVT_2017_0F	User13	Computer	0	 08:36:51	0	9	0	0	 08:36:51	6	0
132	 2019-09-30 18:41:15.000	OUT	AUTOCAD	87084ACD_2019_0F	User22	Computer	1	 00:00:00	2	1	1	1	 00:00:00	1	3
133	 2019-09-30 18:46:15.000	IN	AEC COLLECTION	86706RVT_2017_0F	User4	Computer	1	 09:18:15	1	9	1	1	 09:18:15	6	1
134	 2019-09-30 18:47:51.000	IN	AEC COLLECTION	86706RVT_2017_0F	User4	Computer	0	 09:19:51	0	8	0	0	 09:19:51	5	0
135	 2019-09-30 18:57:53.000	IN	AEC COLLECTION	86706RVT_2017_0F	User12	Computer	1	 06:46:33	1	8	0	0	 07:00:38	4	1
136	 2019-09-30 19:00:45.000	IN	AEC COLLECTION	87149RVT_2019_0F	User12	Computer	0	 06:49:25	0	7	0	0	 06:49:25	1	0
137	 2019-10-01 09:01:45.001	OUT	AEC COLLECTION	87149RVT_2019_0F	User23	Computer	1	 00:00:00	1	8	1	1	 00:00:00	2	1
138	 2019-10-01 09:21:47.001	OUT	AEC COLLECTION	87149RVT_2019_0F	User26	Computer	1	 14:45:47	1	9	1	1	 14:45:47	3	1
139	 2019-10-01 09:38:36.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User5	Computer	1	 14:59:32	1	10	1	1	 14:59:32	5	1
140	 2019-10-01 09:39:45.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User24	Computer	1	 15:06:28	1	11	1	1	 00:00:00	6	1
141	 2019-10-01 09:43:06.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User4	Computer	1	 14:55:15	1	12	1	1	 14:55:15	7	1
142	 2019-10-01 09:43:34.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User4	Computer	2	 14:55:43	1	12	2	2	 14:55:43	7	1
143	 2019-10-01 09:45:02.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User13	Computer	1	 15:04:40	1	13	1	1	 15:04:40	8	1
144	 2019-10-01 09:45:05.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User24	Computer	2	 15:11:48	1	13	2	2	 00:05:20	8	1
145	 2019-10-01 09:49:51.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User13	Computer	2	 15:09:29	1	13	2	2	 15:09:29	8	1
146	 2019-10-01 09:53:57.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User13	Computer	3	 15:13:35	1	13	3	3	 15:13:35	8	1
147	 2019-10-01 10:19:18.001	OUT	AEC COLLECTION	86917RVT_2018_0F	User17	Computer	2	 21:56:14	1	13	2	2	 21:56:14	1	1
